onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	1.302	5 - 2 =	3
4.012	4.414000000000001	EFalse	1.0	0.95	8 - 5 =	2
8.426	4.0120000000000005	control	1.0	0.252	n/a	BLUEbox.bmp
12.438	4.011999999999999	HTrue	1.0	0.714	9 - 7 =	2
16.45	4.0120000000000005	Etrue	1.0	0.849	8 - 5 =	3
20.462	4.0120000000000005	control	1.0	1.423	n/a	BLUEbox.bmp
24.474	4.0120000000000005	Etrue	1.0	0.957	5 - 2 =	3
28.486	4.011999999999997	Hfalse	1.0	1.582	8 - 2 =	7
32.498	4.0120000000000005	EFalse	1.0	0.768	5 - 2 =	2
36.51	4.0120000000000005	control	1.0	0.111	n/a	BLUEbox.bmp
40.522	4.814	EFalse	1.0	0.91	8 - 7 =	3
45.336	4.0120000000000005	control	1.0	0.535	n/a	BLUEbox.bmp
49.348	4.814999999999998	HTrue	1.0	0.738	7 - 2 =	5
54.163	4.814	Hfalse	0.0	n/a	7 - 2 =	6
58.977	4.815000000000005	HTrue	1.0	0.946	8 - 2 =	6
63.792	4.212000000000003	HTrue	1.0	0.568	9 - 2 =	7
68.004	4.4140000000000015	control	1.0	0.727	n/a	BLUEbox.bmp
72.418	4.0120000000000005	Etrue	1.0	0.692	6 - 5 =	1
76.43	4.412999999999997	Etrue	1.0	0.624	6 - 4 =	2
80.843	4.813999999999993	control	1.0	0.307	n/a	BLUEbox.bmp
85.657	4.0120000000000005	EFalse	0.0	n/a	5 - 3 =	1
89.669	4.0120000000000005	HTrue	1.0	1.755	7 - 4 =	3
93.681	4.4140000000000015	control	1.0	0.328	n/a	BLUEbox.bmp
98.095	4.212000000000003	HTrue	1.0	0.636	7 - 4 =	3
102.307	4.4140000000000015	Etrue	0.0	0.99	6 - 5 =	1
106.721	4.813999999999993	control	1.0	0.231	n/a	BLUEbox.bmp
111.535	4.814999999999998	Etrue	1.0	1.826	3 - 2 =	1
116.35	4.0120000000000005	Hfalse	1.0	1.376	8 - 6 =	4
120.362	4.413000000000011	Hfalse	0.0	n/a	9 - 4 =	4
124.775	4.813999999999993	Etrue	1.0	0.639	8 - 7 =	1
129.589	4.814999999999998	HTrue	0.0	n/a	8 - 6 =	2
134.404	4.413000000000011	Etrue	1.0	0.549	5 - 3 =	2
138.817	4.4129999999999825	Etrue	0.0	n/a	5 - 4 =	1
143.23	4.814999999999998	Etrue	0.0	n/a	4 - 3 =	1
148.045	4.413000000000011	HTrue	1.0	0.667	9 - 2 =	7
152.458	4.413000000000011	Hfalse	1.0	0.831	9 - 7 =	4
156.871	4.814999999999998	Etrue	1.0	0.535	8 - 7 =	1
161.686	4.813999999999993	control	0.0	n/a	n/a	BLUEbox.bmp
166.5	4.413000000000011	control	1.0	1.763	n/a	BLUEbox.bmp
170.913	4.814999999999998	control	1.0	1.556	n/a	BLUEbox.bmp
175.728	4.4129999999999825	HTrue	1.0	0.637	9 - 4 =	5
180.141	4.413000000000011	HTrue	1.0	0.761	6 - 2 =	4
184.554	4.814999999999998	EFalse	0.0	0.504	4 - 3 =	2
189.369	4.813999999999993	Hfalse	1.0	0.825	7 - 3 =	3
194.183	4.413000000000011	control	1.0	0.764	n/a	BLUEbox.bmp
198.596	4.814999999999998	EFalse	1.0	1.2	3 - 2 =	2
203.411	4.413000000000011	HTrue	1.0	0.785	9 - 6 =	3
207.824	4.8	HTrue	1.0	0.68	7 - 2 =	5
