onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	easy	1.0	0.589	task-Num/dot3_36-59.bmp	task-Num/dot3_12-35.bmp
4.012	4.814000000000001	medium	1.0	0.989	task-Num/dot3_18-24.bmp	task-Num/dot3_36-72.bmp
8.826	4.011999999999999	easy	1.0	1.128	task-Num/dot3_36-55.bmp	task-Num/dot3_12-31.bmp
12.838	n/a	hard	1.0	0.781	task-Num/dot3_24-22.bmp	task-Num/dot3_36-94.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
25.677	4.814	easy	1.0	1.719	task-Num/dot3_36-57.bmp	task-Num/dot3_12-33.bmp
30.491	4.814	hard	1.0	0.716	task-Num/dot3_36-107.bmp	task-Num/dot3_24-35.bmp
35.305	4.012999999999998	medium	1.0	0.765	task-Num/dot3_18-22.bmp	task-Num/dot3_36-70.bmp
39.318	4.0120000000000005	medium	1.0	1.021	task-Num/dot3_18-21.bmp	task-Num/dot3_36-69.bmp
43.33	4.814	hard	0.0	0.931	task-Num/dot3_36-106.bmp	task-Num/dot3_24-34.bmp
48.144	4.814	medium	1.0	0.958	task-Num/dot3_18-19.bmp	task-Num/dot3_36-67.bmp
52.958	n/a	medium	1.0	0.981	task-Num/dot3_36-84.bmp	task-Num/dot3_18-36.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
61.384	4.0120000000000005	hard	1.0	0.903	task-Num/dot3_36-105.bmp	task-Num/dot3_24-33.bmp
65.396	4.0120000000000005	easy	0.0	0.697	task-Num/dot3_12-22.bmp	task-Num/dot3_36-46.bmp
69.408	n/a	easy	1.0	1.165	task-Num/dot3_12-23.bmp	task-Num/dot3_36-47.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
79.037	4.412999999999997	medium	1.0	0.985	task-Num/dot3_18-20.bmp	task-Num/dot3_36-68.bmp
83.45	4.813999999999993	easy	1.0	1.041	task-Num/dot3_36-60.bmp	task-Num/dot3_12-36.bmp
88.264	4.0120000000000005	easy	1.0	0.859	task-Num/dot3_12-21.bmp	task-Num/dot3_36-45.bmp
92.276	4.0120000000000005	hard	1.0	1.091	task-Num/dot3_24-24.bmp	task-Num/dot3_36-96.bmp
96.288	n/a	hard	1.0	0.888	task-Num/dot3_24-23.bmp	task-Num/dot3_36-95.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
104.313	4.412999999999997	hard	0.0	1.045	task-Num/dot3_36-104.bmp	task-Num/dot3_24-32.bmp
108.726	n/a	medium	1.0	1.062	task-Num/dot3_36-80.bmp	task-Num/dot3_18-32.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
117.552	4.412999999999997	easy	1.0	1.091	task-Num/dot3_12-20.bmp	task-Num/dot3_36-44.bmp
121.965	4.012999999999991	medium	0.0	1.223	task-Num/dot3_36-79.bmp	task-Num/dot3_18-31.bmp
125.978	4.814000000000007	easy	1.0	1.157	task-Num/dot3_12-19.bmp	task-Num/dot3_36-43.bmp
130.792	4.413000000000011	medium	1.0	0.982	task-Num/dot3_18-23.bmp	task-Num/dot3_36-71.bmp
135.205	n/a	medium	1.0	1.577	task-Num/dot3_36-82.bmp	task-Num/dot3_18-34.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
144.834	4.814999999999998	hard	1.0	0.905	task-Num/dot3_36-108.bmp	task-Num/dot3_24-36.bmp
149.649	4.413000000000011	hard	1.0	0.961	task-Num/dot3_24-20.bmp	task-Num/dot3_36-92.bmp
154.062	4.4129999999999825	easy	1.0	1.674	task-Num/dot3_36-58.bmp	task-Num/dot3_12-34.bmp
158.475	n/a	easy	1.0	0.884	task-Num/dot3_12-24.bmp	task-Num/dot3_36-48.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
167.301	4.414000000000016	hard	0.0	n/a	task-Num/dot3_24-21.bmp	task-Num/dot3_36-93.bmp
171.715	n/a	easy	1.0	1.263	task-Num/dot3_36-56.bmp	task-Num/dot3_12-32.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
180.942	n/a	medium	1.0	0.909	task-Num/dot3_36-81.bmp	task-Num/dot3_18-33.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
198.997	4.4129999999999825	hard	1.0	0.956	task-Num/dot3_24-19.bmp	task-Num/dot3_36-91.bmp
203.41	4.813999999999993	hard	0.0	n/a	task-Num/dot3_36-103.bmp	task-Num/dot3_24-31.bmp
208.224	4.4	medium	0.0	0.9	task-Num/dot3_36-83.bmp	task-Num/dot3_18-35.bmp
