onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.654	3 x 5 =	15
4.012	4.413000000000001	Hfalse	1.0	0.979	7 x 6 =	48
8.425	4.011999999999999	Efalse	1.0	0.718	2 x 3 =	9
12.437	4.413000000000002	Etrue	1.0	0.435	3 x 2 =	6
16.85	4.011999999999997	Htrue	1.0	0.475	7 x 6 =	42
20.862	4.013000000000002	control	1.0	0.243	n/a	BLUEbox.bmp
24.875	4.0120000000000005	control	1.0	0.465	n/a	BLUEbox.bmp
28.887	4.0120000000000005	Hfalse	1.0	0.868	6 x 8 =	56
32.899	4.0120000000000005	control	1.0	1.131	n/a	BLUEbox.bmp
36.911	4.814	Htrue	1.0	0.907	9 x 7 =	63
41.725	4.814999999999998	control	0.0	n/a	n/a	BLUEbox.bmp
46.54	4.413000000000004	Etrue	1.0	0.713	5 x 2 =	10
50.953	4.0120000000000005	Efalse	1.0	0.802	2 x 5 =	15
54.965	4.011999999999993	Htrue	1.0	0.815	8 x 9 =	72
58.977	4.814	Htrue	1.0	0.624	8 x 7 =	56
63.791	4.0120000000000005	Htrue	1.0	1.624	7 x 9 =	63
67.803	4.814999999999998	Htrue	0.0	1.333	9 x 6 =	54
72.618	4.814000000000007	control	1.0	0.031	n/a	BLUEbox.bmp
77.432	4.0120000000000005	control	0.0	n/a	n/a	BLUEbox.bmp
81.444	4.412999999999997	Etrue	1.0	0.507	4 x 5 =	20
85.857	4.4140000000000015	control	1.0	1.612	n/a	BLUEbox.bmp
90.271	4.0120000000000005	Htrue	1.0	0.691	8 x 6 =	48
94.283	4.412999999999997	Htrue	1.0	1.286	9 x 6 =	54
98.696	4.0120000000000005	Etrue	1.0	0.873	5 x 4 =	20
102.708	4.814000000000007	Etrue	1.0	2.204	2 x 4 =	8
107.522	4.4140000000000015	control	1.0	0.328	n/a	BLUEbox.bmp
111.936	4.813999999999993	Etrue	1.0	0.691	3 x 2 =	6
116.75	4.814999999999998	Efalse	1.0	0.982	4 x 2 =	10
121.565	4.412999999999997	control	1.0	0.031	n/a	BLUEbox.bmp
125.978	4.412999999999997	control	1.0	0.475	n/a	BLUEbox.bmp
130.391	4.413000000000011	Etrue	1.0	0.66	3 x 4 =	12
134.804	4.814999999999998	Efalse	1.0	0.829	4 x 5 =	15
139.619	4.813999999999993	control	1.0	1.326	n/a	BLUEbox.bmp
144.433	4.0120000000000005	Hfalse	0.0	0.938	8 x 6 =	54
148.445	4.413000000000011	Htrue	0.0	n/a	9 x 7 =	63
152.858	4.413999999999987	Etrue	1.0	0.496	5 x 4 =	20
157.272	4.413000000000011	Htrue	1.0	1.551	9 x 8 =	72
161.685	4.813999999999993	Hfalse	1.0	0.694	6 x 7 =	49
166.499	4.414000000000016	Htrue	1.0	1.634	7 x 6 =	42
170.913	4.4129999999999825	Efalse	1.0	0.631	4 x 3 =	9
175.326	4.413000000000011	Efalse	0.0	n/a	2 x 4 =	12
179.739	4.814999999999998	Etrue	1.0	1.254	4 x 2 =	8
184.554	4.413000000000011	Hfalse	1.0	1.268	7 x 9 =	54
188.967	4.813999999999993	Hfalse	1.0	0.89	7 x 8 =	64
193.781	4.814999999999998	control	1.0	1.909	n/a	BLUEbox.bmp
198.596	4.813999999999993	Etrue	1.0	0.514	5 x 2 =	10
203.41	4.814999999999998	Htrue	0.0	n/a	6 x 9 =	54
208.225	4.4	Etrue	1.0	0.633	2 x 5 =	10
