onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.015	Etrue	1	1.269	5 - 2 =	3
4.015	4.416000000000001	Efalse	1	1.309	8 - 5 =	2
8.431000000000001	4.014999999999999	control	1	1.305	n/a	BLUEbox.bmp
12.446	4.014999999999999	Htrue	1	1.263	9 - 7 =	2
16.461	4.015000000000001	Etrue	1	1.215	8 - 5 =	3
20.476	4.015999999999998	control	1	1.237	n/a	BLUEbox.bmp
24.491999999999997	4.015000000000001	Etrue	1	1.214	5 - 2 =	3
28.506999999999998	4.015000000000001	Hfalse	1	1.201	8 - 2 =	7
32.522	4.016000000000005	Efalse	1	1.169	5 - 2 =	2
36.538000000000004	4.015000000000001	control	1	1.271	n/a	BLUEbox.bmp
40.553000000000004	4.814999999999998	Efalse	1	1.239	8 - 7 =	3
45.368	4.015000000000001	control	1	1.282	n/a	BLUEbox.bmp
49.383	4.814999999999998	Htrue	1	1.221	7 - 2 =	5
54.198	4.815000000000005	Hfalse	1	1.255	7 - 2 =	6
59.013000000000005	4.814999999999998	Htrue	1	1.255	8 - 2 =	6
63.828	4.215999999999994	Htrue	1	1.202	9 - 2 =	7
68.044	4.415000000000006	control	1	1.23	n/a	BLUEbox.bmp
72.459	4.014999999999986	Etrue	1	1.286	6 - 5 =	1
76.47399999999999	4.415000000000006	Etrue	1	1.266	6 - 4 =	2
80.889	4.814999999999998	control	1	1.197	n/a	BLUEbox.bmp
85.704	4.015000000000001	Efalse	1	1.352	5 - 3 =	1
89.719	4.016000000000005	Htrue	1	1.221	7 - 4 =	3
93.735	4.415000000000006	control	1	1.289	n/a	BLUEbox.bmp
98.15	4.214999999999989	Htrue	1	1.336	7 - 4 =	3
102.365	4.415000000000006	Etrue	1	1.301	6 - 5 =	1
106.78	4.814999999999998	control	1	1.259	n/a	BLUEbox.bmp
111.595	4.814999999999998	Etrue	1	1.367	3 - 2 =	1
116.41	4.016000000000005	Hfalse	1	1.29	8 - 6 =	4
120.426	4.415000000000006	Hfalse	1	1.254	9 - 4 =	4
124.84100000000001	4.814999999999998	Etrue	1	1.243	8 - 7 =	1
129.656	4.814999999999998	Htrue	1	1.251	8 - 6 =	2
134.471	4.414999999999992	Etrue	1	1.242	5 - 3 =	2
138.886	4.4150000000000205	Etrue	1	1.27	5 - 4 =	1
143.30100000000002	4.814999999999998	Etrue	1	1.212	4 - 3 =	1
148.116	4.414999999999992	Htrue	1	1.277	9 - 2 =	7
152.531	4.414999999999992	Hfalse	1	1.222	9 - 7 =	4
156.946	4.814999999999998	Etrue	1	1.288	8 - 7 =	1
161.761	4.814999999999998	control	1	1.32	n/a	BLUEbox.bmp
166.576	4.416000000000025	control	1	1.193	n/a	BLUEbox.bmp
170.99200000000002	4.814999999999998	control	1	1.258	n/a	BLUEbox.bmp
175.80700000000002	4.414999999999992	Htrue	1	1.28	9 - 4 =	5
180.222	4.414999999999992	Htrue	1	1.27	6 - 2 =	4
184.637	4.814999999999998	Efalse	1	1.213	4 - 3 =	2
189.452	4.814999999999998	Hfalse	1	1.266	7 - 3 =	3
194.267	4.4150000000000205	control	1	1.282	n/a	BLUEbox.bmp
198.68200000000002	4.814999999999998	Efalse	1	1.34	3 - 2 =	2
203.497	4.414999999999992	Htrue	1	1.287	9 - 6 =	3
207.912	4.8	Htrue	1	1.31	7 - 2 =	5
