onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	2	0.0	1.058	post	cost
4.012	3.0090000000000003	5	1.0	0.356	n/a	/BLUEbox.bmp
7.021	4.414000000000001	6	1.0	1.769	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.435	4.011999999999999	3	1.0	1.089	rum	numb
15.447	3.811	5	1.0	0.585	n/a	/BLUEbox.bmp
19.258	4.0120000000000005	6	0.0	0.809	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.27	4.0120000000000005	1	1.0	0.519	fought	sought
27.282	4.0120000000000005	1	1.0	0.718	scheme	theme
31.294	4.011999999999997	6	1.0	1.303	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.306	4.413000000000004	1	1.0	0.887	stool	fool
39.719	3.4110000000000014	5	1.0	0.506	n/a	/BLUEbox.bmp
43.13	4.412999999999997	1	1.0	0.79	soak	oak
47.543	4.413000000000004	2	0.0	0.872	threat	wheat
51.956	4.0120000000000005	1	1.0	0.619	thread	spread
55.968	4.412999999999997	3	1.0	0.659	pile	trial
60.381	4.814999999999998	4	0.0	0.913	swap	watch
65.196	3.811000000000007	5	1.0	0.511	n/a	/BLUEbox.bmp
69.007	3.4110000000000014	5	1.0	0.453	n/a	/BLUEbox.bmp
72.418	4.412999999999997	4	0.0	0.82	tough	dull
76.831	4.813999999999993	6	0.0	1.065	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.645	4.814999999999998	1	1.0	0.8	sweep	creep
86.46	4.814000000000007	6	0.0	1.347	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
91.274	3.4099999999999966	5	1.0	0.515	n/a	/BLUEbox.bmp
94.684	3.4110000000000014	3	1.0	0.449	stroke	soak
98.095	4.412999999999997	4	0.0	0.923	trial	fall
102.508	4.814000000000007	6	1.0	1.222	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
107.322	3.0090000000000003	5	1.0	0.519	n/a	/BLUEbox.bmp
110.331	3.4110000000000014	5	1.0	0.42	n/a	/BLUEbox.bmp
113.742	3.4099999999999966	5	1.0	0.453	n/a	/BLUEbox.bmp
117.152	3.4099999999999966	5	1.0	0.47	n/a	/BLUEbox.bmp
120.562	4.0120000000000005	1	1.0	1.215	beef	reef
124.574	3.0090000000000003	5	1.0	0.646	n/a	/BLUEbox.bmp
127.583	4.814999999999998	2	0.0	1.339	wart	smart
132.398	4.813999999999993	2	0.0	1.674	dose	pose
137.212	3.410000000000025	5	1.0	0.532	n/a	/BLUEbox.bmp
140.622	4.011999999999972	2	0.0	1.43	touch	couch
144.634	4.0120000000000005	6	0.0	1.288	task-Rhyming/perceptual_v.bmp	task-Rhyming/perceptual_m.bmp
148.646	3.812000000000012	5	1.0	0.579	n/a	/BLUEbox.bmp
152.458	3.811000000000007	5	1.0	0.469	n/a	/BLUEbox.bmp
156.269	3.4099999999999966	5	1.0	0.429	n/a	/BLUEbox.bmp
159.679	3.008999999999986	5	1.0	0.432	n/a	/BLUEbox.bmp
162.688	3.812000000000012	5	1.0	0.446	n/a	/BLUEbox.bmp
166.5	4.413000000000011	4	0.0	1.349	port	warm
170.913	4.813999999999993	3	1.0	1.272	june	noon
175.727	4.413999999999987	4	0.0	0.835	wreath	leap
180.141	3.0090000000000146	5	1.0	0.564	n/a	/BLUEbox.bmp
