onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	1.095	3 x 5 =	15
4.012	4.414000000000001	Hfalse	1.0	0.995	7 x 6 =	48
8.426	4.0120000000000005	Efalse	1.0	0.946	2 x 3 =	9
12.438	4.4129999999999985	Etrue	1.0	0.754	3 x 2 =	6
16.851	4.0120000000000005	Htrue	1.0	0.772	7 x 6 =	42
20.863	4.0120000000000005	control	1.0	1.5	n/a	BLUEbox.bmp
24.875	4.0120000000000005	control	1.0	1.646	n/a	BLUEbox.bmp
28.887	4.0120000000000005	Hfalse	1.0	0.859	6 x 8 =	56
32.899	4.0120000000000005	control	1.0	1.636	n/a	BLUEbox.bmp
36.911	4.814	Htrue	1.0	1.593	9 x 7 =	63
41.725	4.814999999999998	control	1.0	2.149	n/a	BLUEbox.bmp
46.54	4.413000000000004	Etrue	1.0	1.156	5 x 2 =	10
50.953	4.0120000000000005	Efalse	1.0	0.865	2 x 5 =	15
54.965	4.011999999999993	Htrue	1.0	0.888	8 x 9 =	72
58.977	4.814	Htrue	1.0	0.858	8 x 7 =	56
63.791	4.0120000000000005	Htrue	1.0	0.97	7 x 9 =	63
67.803	4.814999999999998	Htrue	1.0	1.056	9 x 6 =	54
72.618	4.814000000000007	control	1.0	1.551	n/a	BLUEbox.bmp
77.432	4.0120000000000005	control	1.0	1.575	n/a	BLUEbox.bmp
81.444	4.4140000000000015	Etrue	1.0	0.777	4 x 5 =	20
85.858	4.412999999999997	control	1.0	1.587	n/a	BLUEbox.bmp
90.271	4.0120000000000005	Htrue	1.0	0.86	8 x 6 =	48
94.283	4.412999999999997	Htrue	0.0	1.943	9 x 6 =	54
98.696	4.0120000000000005	Etrue	1.0	0.676	5 x 4 =	20
102.708	4.814000000000007	Etrue	1.0	0.709	2 x 4 =	8
107.522	4.4140000000000015	control	1.0	1.546	n/a	BLUEbox.bmp
111.936	4.813999999999993	Etrue	1.0	0.806	3 x 2 =	6
116.75	4.814999999999998	Efalse	1.0	1.822	4 x 2 =	10
121.565	4.412999999999997	control	1.0	1.894	n/a	BLUEbox.bmp
125.978	4.412999999999997	control	1.0	1.566	n/a	BLUEbox.bmp
130.391	4.413000000000011	Etrue	1.0	0.789	3 x 4 =	12
134.804	4.814999999999998	Efalse	1.0	1.016	4 x 5 =	15
139.619	4.813999999999993	control	1.0	1.596	n/a	BLUEbox.bmp
144.433	4.0120000000000005	Hfalse	1.0	1.323	8 x 6 =	54
148.445	4.413000000000011	Htrue	1.0	1.259	9 x 7 =	63
152.858	4.413999999999987	Etrue	1.0	0.877	5 x 4 =	20
157.272	4.413000000000011	Htrue	1.0	0.899	9 x 8 =	72
161.685	4.813999999999993	Hfalse	1.0	1.095	6 x 7 =	49
166.499	4.413000000000011	Htrue	1.0	0.855	7 x 6 =	42
170.912	4.413999999999987	Efalse	1.0	1.127	4 x 3 =	9
175.326	4.413000000000011	Efalse	1.0	0.913	2 x 4 =	12
179.739	4.813999999999993	Etrue	1.0	0.754	4 x 2 =	8
184.553	4.414000000000016	Hfalse	1.0	1.588	7 x 9 =	54
188.967	4.813999999999993	Hfalse	1.0	1.061	7 x 8 =	64
193.781	4.813999999999993	control	1.0	1.809	n/a	BLUEbox.bmp
198.595	4.814999999999998	Etrue	1.0	0.934	5 x 2 =	10
203.41	4.813999999999993	Htrue	1.0	0.881	6 x 9 =	54
208.224	4.4	Etrue	1.0	0.888	2 x 5 =	10
