onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	easy	1.0	0.847	task-Num/dot3_12-17.bmp	task-Num/dot3_36-41.bmp
4.012	4.012	hard	1.0	0.936	task-Num/dot3_36-100.bmp	task-Num/dot3_24-28.bmp
8.024	4.814	medium	1.0	0.675	task-Num/dot3_18-13.bmp	task-Num/dot3_36-61.bmp
12.838	4.012000000000002	medium	1.0	0.783	task-Num/dot3_18-16.bmp	task-Num/dot3_36-64.bmp
16.85	n/a	medium	1.0	0.668	task-Num/dot3_18-17.bmp	task-Num/dot3_36-65.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
24.874	4.815000000000001	medium	1.0	0.811	task-Num/dot3_36-78.bmp	task-Num/dot3_18-30.bmp
29.689	n/a	hard	1.0	0.742	task-Num/dot3_36-97.bmp	task-Num/dot3_24-25.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
46.539	4.0120000000000005	easy	1.0	0.805	task-Num/dot3_12-16.bmp	task-Num/dot3_36-40.bmp
50.551	4.412999999999997	medium	1.0	0.607	task-Num/dot3_18-14.bmp	task-Num/dot3_36-62.bmp
54.964	n/a	easy	1.0	1.579	task-Num/dot3_36-51.bmp	task-Num/dot3_12-27.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
62.989	n/a	hard	1.0	0.87	task-Num/dot3_24-17.bmp	task-Num/dot3_36-89.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
71.815	4.412999999999997	hard	1.0	0.9	task-Num/dot3_24-16.bmp	task-Num/dot3_36-88.bmp
76.228	4.815000000000012	medium	1.0	0.741	task-Num/dot3_36-74.bmp	task-Num/dot3_18-26.bmp
81.043	n/a	easy	1.0	0.917	task-Num/dot3_12-15.bmp	task-Num/dot3_36-39.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
89.468	4.813999999999993	hard	1.0	0.917	task-Num/dot3_24-18.bmp	task-Num/dot3_36-90.bmp
94.282	n/a	hard	0.0	0.923	task-Num/dot3_36-99.bmp	task-Num/dot3_24-27.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
102.708	4.814000000000007	easy	1.0	1.383	task-Num/dot3_36-50.bmp	task-Num/dot3_12-26.bmp
107.522	4.412999999999997	hard	1.0	0.876	task-Num/dot3_24-13.bmp	task-Num/dot3_36-85.bmp
111.935	4.0120000000000005	medium	1.0	0.928	task-Num/dot3_18-18.bmp	task-Num/dot3_36-66.bmp
115.947	n/a	hard	1.0	0.893	task-Num/dot3_36-98.bmp	task-Num/dot3_24-26.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
125.175	n/a	hard	1.0	0.817	task-Num/dot3_36-102.bmp	task-Num/dot3_24-30.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
139.217	4.4129999999999825	medium	1.0	0.984	task-Num/dot3_36-73.bmp	task-Num/dot3_18-25.bmp
143.63	4.814999999999998	medium	1.0	1.259	task-Num/dot3_36-77.bmp	task-Num/dot3_18-29.bmp
148.445	4.813999999999993	easy	1.0	0.924	task-Num/dot3_12-18.bmp	task-Num/dot3_36-42.bmp
153.259	4.414000000000016	easy	1.0	1.339	task-Num/dot3_36-52.bmp	task-Num/dot3_12-28.bmp
157.673	4.813999999999993	easy	1.0	1.151	task-Num/dot3_36-54.bmp	task-Num/dot3_12-30.bmp
162.487	4.813999999999993	hard	1.0	0.749	task-Num/dot3_24-14.bmp	task-Num/dot3_36-86.bmp
167.301	4.815000000000026	medium	1.0	0.87	task-Num/dot3_36-76.bmp	task-Num/dot3_18-28.bmp
172.116	4.4129999999999825	medium	1.0	0.809	task-Num/dot3_36-75.bmp	task-Num/dot3_18-27.bmp
176.529	n/a	easy	1.0	0.77	task-Num/dot3_12-13.bmp	task-Num/dot3_36-37.bmp
n/a	n/a	control	n/a	n/a	n/a	BLUEbox.bmp
185.757	4.4129999999999825	hard	1.0	0.766	task-Num/dot3_24-15.bmp	task-Num/dot3_36-87.bmp
190.17	4.413000000000011	easy	1.0	0.842	task-Num/dot3_36-49.bmp	task-Num/dot3_12-25.bmp
194.583	4.414000000000016	medium	1.0	0.724	task-Num/dot3_18-15.bmp	task-Num/dot3_36-63.bmp
198.997	4.4129999999999825	easy	1.0	0.538	task-Num/dot3_12-14.bmp	task-Num/dot3_36-38.bmp
203.41	4.813999999999993	easy	1.0	0.865	task-Num/dot3_36-53.bmp	task-Num/dot3_12-29.bmp
208.224	4.4	hard	1.0	0.884	task-Num/dot3_36-101.bmp	task-Num/dot3_24-29.bmp
