onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.592	2 x 3 =	6
4.012	4.012	Etrue	1.0	0.667	4 x 3 =	12
8.024	4.0120000000000005	Etrue	1.0	0.635	3 x 4 =	12
12.036	4.011999999999999	Htrue	1.0	0.679	6 x 7 =	42
16.048	4.0120000000000005	control	1.0	1.51	n/a	BLUEbox.bmp
20.06	4.815000000000001	Hfalse	1.0	0.708	8 x 9 =	63
24.875	4.0120000000000005	Htrue	1.0	1.117	9 x 8 =	72
28.887	4.0120000000000005	Htrue	1.0	0.644	6 x 9 =	54
32.899	4.211999999999996	control	1.0	2.275	n/a	BLUEbox.bmp
37.111	4.0120000000000005	Etrue	1.0	0.564	3 x 5 =	15
41.123	4.013000000000005	Efalse	1.0	0.718	3 x 2 =	8
45.136	4.814	control	1.0	1.548	n/a	BLUEbox.bmp
49.95	4.814	Htrue	1.0	1.1	8 x 6 =	48
54.764	4.814999999999998	Htrue	0.0	n/a	8 x 9 =	72
59.579	4.814	Efalse	1.0	0.707	3 x 4 =	8
64.393	4.0120000000000005	control	1.0	1.412	n/a	BLUEbox.bmp
68.405	4.814999999999998	control	1.0	1.564	n/a	BLUEbox.bmp
73.22	4.0120000000000005	Htrue	1.0	0.509	6 x 7 =	42
77.232	4.0120000000000005	Efalse	1.0	0.89	5 x 4 =	16
81.244	4.0120000000000005	control	0.0	n/a	n/a	BLUEbox.bmp
85.256	4.813999999999993	Htrue	1.0	1.191	7 x 8 =	56
90.07	4.4140000000000015	Etrue	1.0	0.839	5 x 3 =	15
94.484	4.814000000000007	Etrue	1.0	0.745	2 x 3 =	6
99.298	4.412999999999997	Etrue	1.0	0.638	5 x 3 =	15
103.711	4.0120000000000005	Hfalse	1.0	1.033	9 x 6 =	48
107.723	4.4140000000000015	Etrue	0.0	n/a	2 x 5 =	10
112.137	4.412999999999997	control	0.0	n/a	n/a	BLUEbox.bmp
116.55	4.412999999999997	Etrue	1.0	0.556	4 x 5 =	20
120.963	4.413000000000011	control	1.0	0.383	n/a	BLUEbox.bmp
125.376	4.413999999999987	control	1.0	1.665	n/a	BLUEbox.bmp
129.79	4.413000000000011	Efalse	0.0	0.442	3 x 5 =	10
134.203	4.413000000000011	Hfalse	1.0	0.96	9 x 8 =	64
138.616	4.4129999999999825	control	1.0	2.166	n/a	BLUEbox.bmp
143.029	4.413000000000011	Htrue	1.0	0.758	7 x 9 =	63
147.442	4.814999999999998	Htrue	1.0	0.558	7 x 8 =	56
152.257	4.614000000000004	Hfalse	0.0	1.368	6 x 9 =	45
156.871	4.4129999999999825	Htrue	1.0	0.753	6 x 8 =	48
161.284	4.413000000000011	Hfalse	0.0	0.814	8 x 7 =	63
165.697	4.814999999999998	control	0.0	n/a	n/a	BLUEbox.bmp
170.512	4.813999999999993	Etrue	0.0	2.927	2 x 4 =	8
175.326	4.814999999999998	Etrue	1.0	0.539	4 x 3 =	12
180.141	4.814000000000021	Hfalse	1.0	1.029	9 x 7 =	56
184.955	4.813999999999993	Efalse	0.0	n/a	5 x 3 =	12
189.769	4.413999999999987	Efalse	1.0	1.015	5 x 2 =	12
194.183	4.814000000000021	Etrue	1.0	0.69	4 x 2 =	8
198.997	4.814999999999998	control	1.0	1.117	n/a	BLUEbox.bmp
203.812	4.4129999999999825	Htrue	1.0	1.04	8 x 7 =	56
208.225	4.4	Htrue	0.0	n/a	6 x 8 =	48
