onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	1.103	5 - 2 =	3
4.012	4.413000000000001	EFalse	1.0	1.414	8 - 5 =	2
8.425	4.011999999999999	control	1.0	1.572	n/a	BLUEbox.bmp
12.437	4.012000000000002	HTrue	1.0	0.77	9 - 7 =	2
16.449	4.011999999999997	Etrue	1.0	0.803	8 - 5 =	3
20.461	4.0120000000000005	control	1.0	1.467	n/a	BLUEbox.bmp
24.473	4.013000000000002	Etrue	1.0	0.701	5 - 2 =	3
28.486	4.011999999999997	Hfalse	1.0	1.001	8 - 2 =	7
32.498	4.0120000000000005	EFalse	1.0	0.971	5 - 2 =	2
36.51	4.0120000000000005	control	1.0	1.65	n/a	BLUEbox.bmp
40.522	4.814	EFalse	1.0	0.823	8 - 7 =	3
45.336	4.0120000000000005	control	1.0	1.464	n/a	BLUEbox.bmp
49.348	4.814	HTrue	1.0	0.764	7 - 2 =	5
54.162	4.814999999999998	Hfalse	1.0	1.06	7 - 2 =	6
58.977	4.814	HTrue	1.0	0.815	8 - 2 =	6
63.791	4.213000000000008	HTrue	1.0	0.712	9 - 2 =	7
68.004	4.412999999999997	control	1.0	1.477	n/a	BLUEbox.bmp
72.417	4.0120000000000005	Etrue	1.0	0.713	6 - 5 =	1
76.429	4.412999999999997	Etrue	1.0	0.618	6 - 4 =	2
80.842	4.814999999999998	control	1.0	1.44	n/a	BLUEbox.bmp
85.657	4.0120000000000005	EFalse	1.0	0.867	5 - 3 =	1
89.669	4.0120000000000005	HTrue	1.0	1.675	7 - 4 =	3
93.681	4.412999999999997	control	1.0	1.478	n/a	BLUEbox.bmp
98.094	4.213000000000008	HTrue	1.0	0.665	7 - 4 =	3
102.307	4.412999999999997	Etrue	1.0	0.661	6 - 5 =	1
106.72	4.814000000000007	control	1.0	1.604	n/a	BLUEbox.bmp
111.534	4.814999999999998	Etrue	1.0	0.692	3 - 2 =	1
116.349	4.0120000000000005	Hfalse	1.0	0.953	8 - 6 =	4
120.361	4.412999999999997	Hfalse	1.0	1.184	9 - 4 =	4
124.774	4.813999999999993	Etrue	1.0	0.797	8 - 7 =	1
129.588	4.814999999999998	HTrue	1.0	0.744	8 - 6 =	2
134.403	4.413000000000011	Etrue	1.0	0.635	5 - 3 =	2
138.816	4.413000000000011	Etrue	1.0	0.728	5 - 4 =	1
143.229	4.814999999999998	Etrue	1.0	0.723	4 - 3 =	1
148.044	4.4129999999999825	HTrue	1.0	0.717	9 - 2 =	7
152.457	4.413000000000011	Hfalse	1.0	0.927	9 - 7 =	4
156.87	4.814999999999998	Etrue	1.0	1.003	8 - 7 =	1
161.685	4.813999999999993	control	1.0	1.512	n/a	BLUEbox.bmp
166.499	4.413000000000011	control	1.0	1.553	n/a	BLUEbox.bmp
170.912	4.814999999999998	control	1.0	1.832	n/a	BLUEbox.bmp
175.727	4.4129999999999825	HTrue	1.0	1.146	9 - 4 =	5
180.14	4.413000000000011	HTrue	1.0	0.968	6 - 2 =	4
184.553	4.814999999999998	EFalse	1.0	1.056	4 - 3 =	2
189.368	4.813999999999993	Hfalse	1.0	0.971	7 - 3 =	3
194.182	4.413000000000011	control	1.0	1.725	n/a	BLUEbox.bmp
198.595	4.814999999999998	EFalse	1.0	0.874	3 - 2 =	2
203.41	4.413000000000011	HTrue	0.0	1.295	9 - 6 =	3
207.823	4.8	HTrue	1.0	0.822	7 - 2 =	5
