onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.814	EFalse	1.0	1.086	6 - 5 =	2
4.814	4.0120000000000005	Etrue	1.0	1.101	7 - 6 =	1
8.826	4.011999999999999	control	1.0	1.767	n/a	BLUEbox.bmp
12.838	4.012000000000002	HTrue	1.0	1.011	8 - 3 =	5
16.85	4.011999999999997	Hfalse	1.0	0.876	8 - 3 =	4
20.862	4.0120000000000005	HTrue	1.0	0.823	6 - 2 =	4
24.874	4.013000000000002	Etrue	1.0	0.794	7 - 6 =	1
28.887	4.0120000000000005	control	1.0	1.536	n/a	BLUEbox.bmp
32.899	4.0120000000000005	Etrue	1.0	0.838	4 - 3 =	1
36.911	4.814	HTrue	1.0	0.846	8 - 3 =	5
41.725	4.0120000000000005	control	1.0	1.503	n/a	BLUEbox.bmp
45.737	4.213000000000001	control	1.0	1.547	n/a	BLUEbox.bmp
49.95	4.0120000000000005	HTrue	1.0	1.152	8 - 2 =	6
53.962	4.011999999999993	EFalse	1.0	0.866	5 - 4 =	2
57.974	4.814	Hfalse	1.0	0.961	9 - 3 =	5
62.788	4.814999999999998	Etrue	1.0	0.736	9 - 8 =	1
67.603	4.413000000000011	control	1.0	1.693	n/a	BLUEbox.bmp
72.016	4.0120000000000005	Etrue	1.0	0.638	3 - 2 =	1
76.028	4.412999999999997	Etrue	1.0	0.872	8 - 5 =	3
80.441	4.0120000000000005	EFalse	0.0	0.017	7 - 6 =	3
84.453	4.412999999999997	control	1.0	1.651	n/a	BLUEbox.bmp
88.866	4.0120000000000005	HTrue	1.0	1.554	9 - 3 =	6
92.878	4.814999999999998	control	1.0	1.524	n/a	BLUEbox.bmp
97.693	4.412999999999997	HTrue	1.0	0.777	9 - 4 =	5
102.106	4.814000000000007	EFalse	1.0	0.921	6 - 4 =	1
106.92	4.4140000000000015	Hfalse	1.0	0.869	6 - 2 =	5
111.334	4.412999999999997	HTrue	1.0	0.79	9 - 7 =	2
115.747	4.412999999999997	HTrue	1.0	0.697	9 - 3 =	6
120.16	4.814000000000007	Hfalse	1.0	0.983	9 - 2 =	8
124.974	4.4140000000000015	HTrue	1.0	0.691	9 - 6 =	3
129.388	4.4129999999999825	Etrue	1.0	0.809	5 - 3 =	2
133.801	4.814000000000021	HTrue	1.0	0.865	7 - 3 =	4
138.615	4.814999999999998	control	1.0	1.48	n/a	BLUEbox.bmp
143.43	4.813999999999993	control	1.0	1.513	n/a	BLUEbox.bmp
148.244	4.413000000000011	Etrue	1.0	0.749	6 - 4 =	2
152.657	4.814999999999998	Etrue	1.0	0.803	5 - 4 =	1
157.472	4.4129999999999825	control	1.0	1.632	n/a	BLUEbox.bmp
161.885	4.413000000000011	Hfalse	1.0	1.174	9 - 6 =	5
166.298	4.413999999999987	control	1.0	1.707	n/a	BLUEbox.bmp
170.712	4.814000000000021	Etrue	1.0	0.918	7 - 5 =	2
175.526	4.613999999999976	Hfalse	0.0	1.813	7 - 4 =	2
180.14	4.814000000000021	HTrue	1.0	0.787	8 - 6 =	2
184.954	4.4129999999999825	EFalse	1.0	1.465	7 - 5 =	1
189.367	4.414000000000016	EFalse	1.0	0.769	9 - 8 =	3
193.781	4.813999999999993	HTrue	1.0	0.715	7 - 3 =	4
198.595	4.413000000000011	Etrue	1.0	0.787	9 - 8 =	1
203.008	4.814999999999998	control	1.0	1.64	n/a	BLUEbox.bmp
207.823	4.8	Etrue	1.0	0.893	7 - 5 =	2
