onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.504	2 x 3 =	6
4.012	4.012	Etrue	1.0	0.485	4 x 3 =	12
8.024	4.0120000000000005	Etrue	1.0	0.775	3 x 4 =	12
12.036	4.011999999999999	Htrue	1.0	0.538	6 x 7 =	42
16.048	4.0120000000000005	control	1.0	1.304	n/a	BLUEbox.bmp
20.06	4.814	Hfalse	1.0	0.597	8 x 9 =	63
24.874	4.0120000000000005	Htrue	1.0	0.55	9 x 8 =	72
28.886	4.012000000000004	Htrue	1.0	0.528	6 x 9 =	54
32.898	4.212999999999994	control	1.0	1.646	n/a	BLUEbox.bmp
37.111	4.0120000000000005	Etrue	1.0	0.483	3 x 5 =	15
41.123	4.0120000000000005	Efalse	1.0	0.659	3 x 2 =	8
45.135	4.814	control	1.0	1.371	n/a	BLUEbox.bmp
49.949	4.815000000000005	Htrue	1.0	0.967	8 x 6 =	48
54.764	4.814	Htrue	1.0	0.508	8 x 9 =	72
59.578	4.814999999999998	Efalse	1.0	0.617	3 x 4 =	8
64.393	4.0120000000000005	control	1.0	1.356	n/a	BLUEbox.bmp
68.405	4.813999999999993	control	1.0	1.366	n/a	BLUEbox.bmp
73.219	4.0120000000000005	Htrue	1.0	0.541	6 x 7 =	42
77.231	4.0120000000000005	Efalse	1.0	0.819	5 x 4 =	16
81.243	4.0120000000000005	control	1.0	1.352	n/a	BLUEbox.bmp
85.255	4.814999999999998	Htrue	0.0	n/a	7 x 8 =	56
90.07	4.413000000000011	Etrue	1.0	0.472	5 x 3 =	15
94.483	4.813999999999993	Etrue	1.0	0.525	2 x 3 =	6
99.297	4.412999999999997	Etrue	1.0	0.519	5 x 3 =	15
103.71	4.013000000000005	Hfalse	0.0	0.674	9 x 6 =	48
107.723	4.412999999999997	Etrue	1.0	0.561	2 x 5 =	10
112.136	4.413000000000011	control	1.0	1.5	n/a	BLUEbox.bmp
116.549	4.412999999999997	Etrue	0.0	0.521	4 x 5 =	20
120.962	4.412999999999997	control	1.0	1.517	n/a	BLUEbox.bmp
125.375	4.413999999999987	control	1.0	1.314	n/a	BLUEbox.bmp
129.789	4.413000000000011	Efalse	1.0	0.641	3 x 5 =	10
134.202	4.413000000000011	Hfalse	1.0	0.576	9 x 8 =	64
138.615	4.4129999999999825	control	1.0	1.606	n/a	BLUEbox.bmp
143.028	4.414000000000016	Htrue	0.0	0.84	7 x 9 =	63
147.442	4.813999999999993	Htrue	1.0	0.602	7 x 8 =	56
152.256	4.614000000000004	Hfalse	1.0	0.818	6 x 9 =	45
156.87	4.4129999999999825	Htrue	1.0	0.743	6 x 8 =	48
161.283	4.413000000000011	Hfalse	1.0	0.72	8 x 7 =	63
165.696	4.814999999999998	control	1.0	1.502	n/a	BLUEbox.bmp
170.511	4.813999999999993	Etrue	1.0	0.568	2 x 4 =	8
175.325	4.814999999999998	Etrue	1.0	0.504	4 x 3 =	12
180.14	4.814000000000021	Hfalse	1.0	0.947	9 x 7 =	56
184.954	4.813999999999993	Efalse	1.0	0.681	5 x 3 =	12
189.768	4.413999999999987	Efalse	1.0	0.623	5 x 2 =	12
194.182	4.814000000000021	Etrue	1.0	0.524	4 x 2 =	8
198.996	4.813999999999993	control	1.0	1.461	n/a	BLUEbox.bmp
203.81	4.413999999999987	Htrue	1.0	0.553	8 x 7 =	56
208.224	4.4	Htrue	1.0	0.534	6 x 8 =	48
