onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.628	5 - 2 =	3
4.012	4.413000000000001	EFalse	1.0	0.56	8 - 5 =	2
8.425	4.011999999999999	control	1.0	1.403	n/a	BLUEbox.bmp
12.437	4.012000000000002	HTrue	1.0	0.501	9 - 7 =	2
16.449	4.011999999999997	Etrue	1.0	0.633	8 - 5 =	3
20.461	4.0120000000000005	control	1.0	1.409	n/a	BLUEbox.bmp
24.473	4.0120000000000005	Etrue	1.0	0.55	5 - 2 =	3
28.485	4.0120000000000005	Hfalse	1.0	0.665	8 - 2 =	7
32.497	4.0120000000000005	EFalse	1.0	0.64	5 - 2 =	2
36.509	4.0120000000000005	control	1.0	1.446	n/a	BLUEbox.bmp
40.521	4.814999999999998	EFalse	1.0	0.536	8 - 7 =	3
45.336	4.0120000000000005	control	1.0	1.436	n/a	BLUEbox.bmp
49.348	4.814	HTrue	1.0	0.642	7 - 2 =	5
54.162	4.814999999999998	Hfalse	1.0	0.52	7 - 2 =	6
58.977	4.814	HTrue	1.0	0.523	8 - 2 =	6
63.791	4.213000000000008	HTrue	1.0	0.543	9 - 2 =	7
68.004	4.412999999999997	control	1.0	1.347	n/a	BLUEbox.bmp
72.417	4.0120000000000005	Etrue	0.0	0.508	6 - 5 =	1
76.429	4.412999999999997	Etrue	1.0	0.618	6 - 4 =	2
80.842	4.814999999999998	control	1.0	1.36	n/a	BLUEbox.bmp
85.657	4.0120000000000005	EFalse	1.0	0.687	5 - 3 =	1
89.669	4.0120000000000005	HTrue	1.0	0.62	7 - 4 =	3
93.681	4.412999999999997	control	1.0	1.387	n/a	BLUEbox.bmp
98.094	4.212000000000003	HTrue	1.0	0.522	7 - 4 =	3
102.306	4.4140000000000015	Etrue	1.0	0.56	6 - 5 =	1
106.72	4.814000000000007	control	1.0	1.51	n/a	BLUEbox.bmp
111.534	4.814999999999998	Etrue	1.0	0.576	3 - 2 =	1
116.349	4.0120000000000005	Hfalse	1.0	0.639	8 - 6 =	4
120.361	4.412999999999997	Hfalse	1.0	0.649	9 - 4 =	4
124.774	4.813999999999993	Etrue	1.0	0.603	8 - 7 =	1
129.588	4.814999999999998	HTrue	1.0	0.691	8 - 6 =	2
134.403	4.413000000000011	Etrue	1.0	0.522	5 - 3 =	2
138.816	4.413000000000011	Etrue	1.0	0.552	5 - 4 =	1
143.229	4.814999999999998	Etrue	1.0	0.529	4 - 3 =	1
148.044	4.4129999999999825	HTrue	1.0	0.51	9 - 2 =	7
152.457	4.413000000000011	Hfalse	1.0	0.51	9 - 7 =	4
156.87	4.813999999999993	Etrue	1.0	0.538	8 - 7 =	1
161.684	4.814999999999998	control	1.0	1.345	n/a	BLUEbox.bmp
166.499	4.413000000000011	control	1.0	1.382	n/a	BLUEbox.bmp
170.912	4.813999999999993	control	1.0	1.432	n/a	BLUEbox.bmp
175.726	4.413999999999987	HTrue	1.0	0.605	9 - 4 =	5
180.14	4.413000000000011	HTrue	1.0	0.584	6 - 2 =	4
184.553	4.813999999999993	EFalse	1.0	0.578	4 - 3 =	2
189.367	4.814999999999998	Hfalse	1.0	0.668	7 - 3 =	3
194.182	4.413000000000011	control	1.0	1.405	n/a	BLUEbox.bmp
198.595	4.813999999999993	EFalse	1.0	0.647	3 - 2 =	2
203.409	4.414000000000016	HTrue	1.0	0.534	9 - 6 =	3
207.823	4.8	HTrue	1.0	0.623	7 - 2 =	5
