onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.84	3 x 5 =	15
4.012	4.413000000000001	Hfalse	1.0	1.512	7 x 6 =	48
8.425	4.011999999999999	Efalse	1.0	1.429	2 x 3 =	9
12.437	4.413000000000002	Etrue	1.0	0.821	3 x 2 =	6
16.85	4.011999999999997	Htrue	1.0	1.051	7 x 6 =	42
20.862	4.0120000000000005	control	1.0	1.904	n/a	BLUEbox.bmp
24.874	4.0120000000000005	control	1.0	1.773	n/a	BLUEbox.bmp
28.886	4.012000000000004	Hfalse	0.0	1.474	6 x 8 =	56
32.898	4.011999999999993	control	1.0	1.886	n/a	BLUEbox.bmp
36.91	4.815000000000005	Htrue	0.0	1.534	9 x 7 =	63
41.725	4.814	control	1.0	1.819	n/a	BLUEbox.bmp
46.539	4.412999999999997	Etrue	1.0	0.907	5 x 2 =	10
50.952	4.0120000000000005	Efalse	1.0	1.23	2 x 5 =	15
54.964	4.0120000000000005	Htrue	1.0	1.448	8 x 9 =	72
58.976	4.814999999999998	Htrue	1.0	1.045	8 x 7 =	56
63.791	4.0120000000000005	Htrue	1.0	1.857	7 x 9 =	63
67.803	4.814000000000007	Htrue	0.0	1.239	9 x 6 =	54
72.617	4.814999999999998	control	1.0	1.838	n/a	BLUEbox.bmp
77.432	4.0120000000000005	control	1.0	1.962	n/a	BLUEbox.bmp
81.444	4.412999999999997	Etrue	1.0	1.044	4 x 5 =	20
85.857	4.412999999999997	control	1.0	2.072	n/a	BLUEbox.bmp
90.27	4.0120000000000005	Htrue	1.0	1.41	8 x 6 =	48
94.282	4.412999999999997	Htrue	1.0	2.195	9 x 6 =	54
98.695	4.0120000000000005	Etrue	1.0	1.057	5 x 4 =	20
102.707	4.815000000000012	Etrue	1.0	0.873	2 x 4 =	8
107.522	4.412999999999997	control	1.0	1.921	n/a	BLUEbox.bmp
111.935	4.813999999999993	Etrue	1.0	0.445	3 x 2 =	6
116.749	4.814999999999998	Efalse	1.0	1.145	4 x 2 =	10
121.564	4.413000000000011	control	1.0	1.952	n/a	BLUEbox.bmp
125.977	4.4129999999999825	control	1.0	1.881	n/a	BLUEbox.bmp
130.39	4.414000000000016	Etrue	1.0	1.592	3 x 4 =	12
134.804	4.813999999999993	Efalse	1.0	1.271	4 x 5 =	15
139.618	4.813999999999993	control	1.0	1.863	n/a	BLUEbox.bmp
144.432	4.0120000000000005	Hfalse	1.0	1.675	8 x 6 =	54
148.444	4.414000000000016	Htrue	1.0	1.389	9 x 7 =	63
152.858	4.4129999999999825	Etrue	1.0	0.904	5 x 4 =	20
157.271	4.413000000000011	Htrue	1.0	1.518	9 x 8 =	72
161.684	4.813999999999993	Hfalse	1.0	1.884	6 x 7 =	49
166.498	4.414000000000016	Htrue	1.0	1.412	7 x 6 =	42
170.912	4.4129999999999825	Efalse	1.0	1.346	4 x 3 =	9
175.325	4.413000000000011	Efalse	1.0	1.095	2 x 4 =	12
179.738	4.814999999999998	Etrue	1.0	1.174	4 x 2 =	8
184.553	4.413000000000011	Hfalse	0.0	1.379	7 x 9 =	54
188.966	4.813999999999993	Hfalse	0.0	2.567	7 x 8 =	64
193.78	4.814999999999998	control	1.0	1.834	n/a	BLUEbox.bmp
198.595	4.813999999999993	Etrue	1.0	1.116	5 x 2 =	10
203.409	4.814999999999998	Htrue	1.0	1.895	6 x 9 =	54
208.224	4.4	Etrue	1.0	1.048	2 x 5 =	10
