onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.87	2 x 3 =	6
4.012	4.012	Etrue	1.0	1.716	4 x 3 =	12
8.024	4.0120000000000005	Etrue	1.0	0.941	3 x 4 =	12
12.036	4.011999999999999	Htrue	1.0	1.627	6 x 7 =	42
16.048	4.0120000000000005	control	1.0	1.928	n/a	BLUEbox.bmp
20.06	4.814	Hfalse	1.0	2.434	8 x 9 =	63
24.874	4.0120000000000005	Htrue	1.0	1.6	9 x 8 =	72
28.886	4.013000000000002	Htrue	1.0	1.914	6 x 9 =	54
32.899	4.211999999999996	control	1.0	1.789	n/a	BLUEbox.bmp
37.111	4.0120000000000005	Etrue	1.0	1.102	3 x 5 =	15
41.123	4.0120000000000005	Efalse	1.0	1.039	3 x 2 =	8
45.135	4.815000000000005	control	1.0	1.818	n/a	BLUEbox.bmp
49.95	4.814	Htrue	1.0	2.163	8 x 6 =	48
54.764	4.814	Htrue	0.0	2.749	8 x 9 =	72
59.578	4.814999999999998	Efalse	1.0	1.901	3 x 4 =	8
64.393	4.0120000000000005	control	1.0	1.927	n/a	BLUEbox.bmp
68.405	4.813999999999993	control	1.0	1.828	n/a	BLUEbox.bmp
73.219	4.0120000000000005	Htrue	1.0	1.872	6 x 7 =	42
77.231	4.0120000000000005	Efalse	1.0	1.073	5 x 4 =	16
81.243	4.0120000000000005	control	1.0	1.856	n/a	BLUEbox.bmp
85.255	4.814999999999998	Htrue	0.0	n/a	7 x 8 =	56
90.07	4.413000000000011	Etrue	1.0	0.948	5 x 3 =	15
94.483	4.814999999999998	Etrue	1.0	0.94	2 x 3 =	6
99.298	4.412999999999997	Etrue	1.0	1.093	5 x 3 =	15
103.711	4.0120000000000005	Hfalse	0.0	1.657	9 x 6 =	48
107.723	4.412999999999997	Etrue	1.0	0.859	2 x 5 =	10
112.136	4.413000000000011	control	1.0	1.734	n/a	BLUEbox.bmp
116.549	4.412999999999997	Etrue	1.0	0.903	4 x 5 =	20
120.962	4.4140000000000015	control	1.0	2.044	n/a	BLUEbox.bmp
125.376	4.4129999999999825	control	1.0	1.895	n/a	BLUEbox.bmp
129.789	4.413000000000011	Efalse	1.0	1.327	3 x 5 =	10
134.202	4.413000000000011	Hfalse	0.0	1.006	9 x 8 =	64
138.615	4.413999999999987	control	1.0	1.958	n/a	BLUEbox.bmp
143.029	4.413000000000011	Htrue	1.0	2.549	7 x 9 =	63
147.442	4.813999999999993	Htrue	1.0	1.45	7 x 8 =	56
152.256	4.614000000000004	Hfalse	0.0	1.786	6 x 9 =	45
156.87	4.4129999999999825	Htrue	0.0	1.544	6 x 8 =	48
161.283	4.413000000000011	Hfalse	0.0	1.187	8 x 7 =	63
165.696	4.814999999999998	control	1.0	2.408	n/a	BLUEbox.bmp
170.511	4.813999999999993	Etrue	1.0	1.007	2 x 4 =	8
175.325	4.814999999999998	Etrue	1.0	1.183	4 x 3 =	12
180.14	4.814000000000021	Hfalse	0.0	1.555	9 x 7 =	56
184.954	4.814999999999998	Efalse	1.0	1.072	5 x 3 =	12
189.769	4.4129999999999825	Efalse	1.0	1.778	5 x 2 =	12
194.182	4.814000000000021	Etrue	1.0	1.085	4 x 2 =	8
198.996	4.814999999999998	control	1.0	1.712	n/a	BLUEbox.bmp
203.811	4.4129999999999825	Htrue	1.0	1.58	8 x 7 =	56
208.224	4.4	Htrue	1.0	2.522	6 x 8 =	48
