onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.836	5 - 2 =	3
4.012	4.413000000000001	EFalse	1.0	0.965	8 - 5 =	2
8.425	4.011999999999999	control	1.0	1.56	n/a	BLUEbox.bmp
12.437	4.012000000000002	HTrue	1.0	0.756	9 - 7 =	2
16.449	4.011999999999997	Etrue	1.0	0.753	8 - 5 =	3
20.461	4.0120000000000005	control	1.0	1.777	n/a	BLUEbox.bmp
24.473	4.0120000000000005	Etrue	1.0	0.908	5 - 2 =	3
28.485	4.0120000000000005	Hfalse	1.0	1.215	8 - 2 =	7
32.497	4.0120000000000005	EFalse	1.0	0.923	5 - 2 =	2
36.509	4.0120000000000005	control	1.0	1.879	n/a	BLUEbox.bmp
40.521	4.814999999999998	EFalse	1.0	1.01	8 - 7 =	3
45.336	4.0120000000000005	control	1.0	1.739	n/a	BLUEbox.bmp
49.348	4.814	HTrue	0.0	1.663	7 - 2 =	5
54.162	4.814999999999998	Hfalse	1.0	1.024	7 - 2 =	6
58.977	4.814	HTrue	1.0	0.901	8 - 2 =	6
63.791	4.213000000000008	HTrue	1.0	0.727	9 - 2 =	7
68.004	4.412999999999997	control	1.0	1.763	n/a	BLUEbox.bmp
72.417	4.0120000000000005	Etrue	1.0	0.87	6 - 5 =	1
76.429	4.412999999999997	Etrue	1.0	0.699	6 - 4 =	2
80.842	4.814999999999998	control	1.0	1.575	n/a	BLUEbox.bmp
85.657	4.0120000000000005	EFalse	1.0	0.888	5 - 3 =	1
89.669	4.0120000000000005	HTrue	1.0	1.437	7 - 4 =	3
93.681	4.412999999999997	control	1.0	1.686	n/a	BLUEbox.bmp
98.094	4.212000000000003	HTrue	1.0	1.165	7 - 4 =	3
102.306	4.4140000000000015	Etrue	1.0	0.882	6 - 5 =	1
106.72	4.814000000000007	control	1.0	1.976	n/a	BLUEbox.bmp
111.534	4.814999999999998	Etrue	1.0	0.823	3 - 2 =	1
116.349	4.0120000000000005	Hfalse	1.0	1.22	8 - 6 =	4
120.361	4.412999999999997	Hfalse	0.0	n/a	9 - 4 =	4
124.774	4.813999999999993	Etrue	1.0	0.792	8 - 7 =	1
129.588	4.814999999999998	HTrue	1.0	0.898	8 - 6 =	2
134.403	4.413000000000011	Etrue	1.0	0.792	5 - 3 =	2
138.816	4.413000000000011	Etrue	1.0	0.798	5 - 4 =	1
143.229	4.814999999999998	Etrue	1.0	0.805	4 - 3 =	1
148.044	4.4129999999999825	HTrue	1.0	1.083	9 - 2 =	7
152.457	4.413000000000011	Hfalse	1.0	1.124	9 - 7 =	4
156.87	4.813999999999993	Etrue	1.0	0.854	8 - 7 =	1
161.684	4.814999999999998	control	1.0	1.782	n/a	BLUEbox.bmp
166.499	4.413000000000011	control	1.0	1.957	n/a	BLUEbox.bmp
170.912	4.813999999999993	control	1.0	1.741	n/a	BLUEbox.bmp
175.726	4.413999999999987	HTrue	1.0	0.914	9 - 4 =	5
180.14	4.413000000000011	HTrue	1.0	0.958	6 - 2 =	4
184.553	4.813999999999993	EFalse	1.0	1.172	4 - 3 =	2
189.367	4.814999999999998	Hfalse	1.0	1.465	7 - 3 =	3
194.182	4.413000000000011	control	1.0	1.963	n/a	BLUEbox.bmp
198.595	4.813999999999993	EFalse	1.0	1.313	3 - 2 =	2
203.409	4.414000000000016	HTrue	1.0	1.979	9 - 6 =	3
207.823	4.8	HTrue	1.0	1.524	7 - 2 =	5
