onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	2	0.0	1.024	post	cost
4.012	3.0090000000000003	5	1.0	0.559	n/a	/BLUEbox.bmp
7.021	4.412999999999999	6	0.0	1.81	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.434	4.0120000000000005	3	1.0	1.097	rum	numb
15.446	3.8110000000000017	5	1.0	0.553	n/a	/BLUEbox.bmp
19.257	4.011999999999997	6	0.0	1.234	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.269	4.0120000000000005	1	1.0	1.016	fought	sought
27.281	4.0120000000000005	1	1.0	0.843	scheme	theme
31.293	4.0120000000000005	6	1.0	1.295	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.305	4.4140000000000015	1	1.0	1.037	stool	fool
39.719	3.4099999999999966	5	1.0	0.558	n/a	/BLUEbox.bmp
43.129	4.413000000000004	1	1.0	0.93	soak	oak
47.542	4.412999999999997	2	0.0	1.268	threat	wheat
51.955	4.0120000000000005	1	1.0	0.971	thread	spread
55.967	4.4140000000000015	3	1.0	1.174	pile	trial
60.381	4.813999999999993	4	0.0	0.894	swap	watch
65.195	3.812000000000012	5	1.0	0.632	n/a	/BLUEbox.bmp
69.007	3.4099999999999966	5	1.0	0.512	n/a	/BLUEbox.bmp
72.417	4.412999999999997	4	0.0	0.805	tough	dull
76.83	4.814999999999998	6	0.0	0.934	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.645	4.814000000000007	1	1.0	0.884	sweep	creep
86.459	4.813999999999993	6	0.0	1.312	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
91.273	3.4110000000000014	5	1.0	0.517	n/a	/BLUEbox.bmp
94.684	3.4099999999999966	3	1.0	0.424	stroke	soak
98.094	4.413000000000011	4	0.0	0.924	trial	fall
102.507	4.814999999999998	6	1.0	1.085	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
107.322	3.0090000000000003	5	1.0	0.681	n/a	/BLUEbox.bmp
110.331	3.4099999999999966	5	1.0	0.465	n/a	/BLUEbox.bmp
113.741	3.4099999999999966	5	1.0	0.482	n/a	/BLUEbox.bmp
117.151	3.410000000000011	5	1.0	0.521	n/a	/BLUEbox.bmp
120.561	4.011999999999986	1	1.0	0.837	beef	reef
124.573	3.0090000000000003	5	1.0	0.486	n/a	/BLUEbox.bmp
127.582	4.814999999999998	2	0.0	1.132	wart	smart
132.397	4.814000000000021	2	0.0	2.076	dose	pose
137.211	3.4099999999999966	5	1.0	0.594	n/a	/BLUEbox.bmp
140.621	4.012999999999977	2	0.0	1.082	touch	couch
144.634	4.0120000000000005	6	0.0	1.1	task-Rhyming/perceptual_v.bmp	task-Rhyming/perceptual_m.bmp
148.646	3.811000000000007	5	0.0	n/a	n/a	/BLUEbox.bmp
152.457	3.811000000000007	5	1.0	0.577	n/a	/BLUEbox.bmp
156.268	3.4110000000000014	5	0.0	n/a	n/a	/BLUEbox.bmp
159.679	3.008999999999986	5	1.0	0.621	n/a	/BLUEbox.bmp
162.688	3.811000000000007	5	1.0	0.469	n/a	/BLUEbox.bmp
166.499	4.413000000000011	4	0.0	1.151	port	warm
170.912	4.814999999999998	3	1.0	1.234	june	noon
175.727	4.4129999999999825	4	0.0	1.025	wreath	leap
180.14	3.0090000000000146	5	1.0	0.472	n/a	/BLUEbox.bmp
183.149	4.413000000000011	6	1.0	1.207	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_d.bmp
187.562	4.4129999999999825	2	0.0	1.076	glove	stove
191.975	4.814999999999998	1	1.0	1.09	numb	crumb
196.79	4.814000000000021	2	0.0	2.075	stood	flood
201.604	4.413999999999987	6	1.0	1.192	task-Rhyming/perceptual_i.bmp	task-Rhyming/perceptual_j.bmp
206.018	4.813999999999993	4	0.0	1.155	smart	drought
210.832	4.413000000000011	3	1.0	1.232	stir	blur
215.245	3.4110000000000014	5	1.0	0.74	n/a	/BLUEbox.bmp
218.656	3.811000000000007	5	1.0	0.533	n/a	/BLUEbox.bmp
222.467	4.813999999999993	2	0.0	1.825	pool	wool
227.281	3.009999999999991	5	1.0	0.684	n/a	/BLUEbox.bmp
230.291	3.4099999999999966	5	1.0	0.783	n/a	/BLUEbox.bmp
233.701	4.413000000000011	2	0.0	1.743	fought	drought
238.114	4.0120000000000005	3	1.0	0.963	flight	spite
242.126	4.4129999999999825	3	1.0	0.97	scheme	cream
246.539	4.0120000000000005	6	0.0	1.61	task-Rhyming/perceptual_z.bmp	task-Rhyming/perceptual_g.bmp
250.551	4.815000000000026	4	0.0	1.525	ghost	pose
255.366	3.4099999999999966	5	1.0	0.621	n/a	/BLUEbox.bmp
258.776	4.0120000000000005	4	0.0	1.299	grace	fence
262.788	4.0120000000000005	4	0.0	1.063	dried	stood
266.8	4.0120000000000005	4	0.0	1.038	ford	rod
270.812	4.413000000000011	1	1.0	0.975	strap	gap
275.225	4.814999999999998	6	1.0	1.104	task-Rhyming/perceptual_e.bmp	task-Rhyming/perceptual_f.bmp
280.04	3.0089999999999577	5	0.0	n/a	n/a	/BLUEbox.bmp
283.049	4.0120000000000005	4	0.0	2.15	gross	post
