onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	Etrue	1.0	0.604	2 x 3 =	6
4.012	4.012	Etrue	1.0	0.645	4 x 3 =	12
8.024	4.0120000000000005	Etrue	1.0	0.589	3 x 4 =	12
12.036	4.011999999999999	Htrue	1.0	0.577	6 x 7 =	42
16.048	4.0120000000000005	control	1.0	1.364	n/a	BLUEbox.bmp
20.06	4.814	Hfalse	0.0	0.774	8 x 9 =	63
24.874	4.0120000000000005	Htrue	1.0	1.129	9 x 8 =	72
28.886	4.012000000000004	Htrue	1.0	1.171	6 x 9 =	54
32.898	4.212999999999994	control	1.0	1.417	n/a	BLUEbox.bmp
37.111	4.0120000000000005	Etrue	1.0	0.536	3 x 5 =	15
41.123	4.0120000000000005	Efalse	1.0	0.925	3 x 2 =	8
45.135	4.814	control	1.0	1.418	n/a	BLUEbox.bmp
49.949	4.815000000000005	Htrue	1.0	0.899	8 x 6 =	48
54.764	4.814	Htrue	1.0	0.743	8 x 9 =	72
59.578	4.814999999999998	Efalse	1.0	0.79	3 x 4 =	8
64.393	4.0120000000000005	control	1.0	1.29	n/a	BLUEbox.bmp
68.405	4.813999999999993	control	1.0	1.518	n/a	BLUEbox.bmp
73.219	4.0120000000000005	Htrue	1.0	0.647	6 x 7 =	42
77.231	4.0120000000000005	Efalse	1.0	1.02	5 x 4 =	16
81.243	4.0120000000000005	control	1.0	1.52	n/a	BLUEbox.bmp
85.255	4.814999999999998	Htrue	0.0	n/a	7 x 8 =	56
90.07	4.413000000000011	Etrue	1.0	0.637	5 x 3 =	15
94.483	4.813999999999993	Etrue	1.0	0.737	2 x 3 =	6
99.297	4.412999999999997	Etrue	1.0	0.769	5 x 3 =	15
103.71	4.0120000000000005	Hfalse	0.0	n/a	9 x 6 =	48
107.722	4.4140000000000015	Etrue	1.0	0.763	2 x 5 =	10
112.136	4.413000000000011	control	1.0	1.552	n/a	BLUEbox.bmp
116.549	4.412999999999997	Etrue	1.0	0.803	4 x 5 =	20
120.962	4.412999999999997	control	0.0	n/a	n/a	BLUEbox.bmp
125.375	4.413999999999987	control	1.0	1.561	n/a	BLUEbox.bmp
129.789	4.413000000000011	Efalse	1.0	0.993	3 x 5 =	10
134.202	4.413000000000011	Hfalse	0.0	2.027	9 x 8 =	64
138.615	4.4129999999999825	control	1.0	1.431	n/a	BLUEbox.bmp
143.028	4.414000000000016	Htrue	1.0	1.86	7 x 9 =	63
147.442	4.830999999999989	Htrue	1.0	0.846	7 x 8 =	56
152.273	4.614000000000004	Hfalse	0.0	1.549	6 x 9 =	45
156.887	4.413000000000011	Htrue	1.0	0.681	6 x 8 =	48
161.3	4.4129999999999825	Hfalse	1.0	1.024	8 x 7 =	63
165.713	4.813999999999993	control	1.0	1.371	n/a	BLUEbox.bmp
170.527	4.815000000000026	Etrue	1.0	0.812	2 x 4 =	8
175.342	4.813999999999993	Etrue	1.0	0.684	4 x 3 =	12
180.156	4.814999999999998	Hfalse	0.0	0.77	9 x 7 =	56
184.971	4.813999999999993	Efalse	1.0	1.246	5 x 3 =	12
189.785	4.413000000000011	Efalse	1.0	1.937	5 x 2 =	12
194.198	4.814999999999998	Etrue	1.0	0.563	4 x 2 =	8
199.013	4.813999999999993	control	1.0	1.382	n/a	BLUEbox.bmp
203.827	4.413000000000011	Htrue	0.0	2.112	8 x 7 =	56
208.24	4.4	Htrue	1.0	0.663	6 x 8 =	48
